Kód obce,Názov obce,Počet zapísaných voličov,Počet zúčastnených voličov,Účasť voličov v %
508772,Michalová,1033,520,50.33
508781,Môlča,344,147,42.73
508799,Moštenica,219,143,65.29
508802,Motyčky,97,69,71.13
508811,Mýto pod Ďumbierom,468,312,66.66
508829,Nemecká,1403,768,54.73
508837,Oravce,145,99,68.27
508845,Osrblie,302,206,68.21
508853,Podbrezová,2984,1529,51.23
508861,Podkonice,761,445,58.47
508870,Pohorelá,1793,916,51.08
508888,Pohronská Polhora,1330,598,44.96
508896,Pohronský Bukovec,102,66,64.7
508900,Polomka,2202,986,44.77
508918,Poniky,1253,713,56.9
508926,Povrazník,120,88,73.33
508934,Predajná,1073,570,53.12
508942,Priechod,836,477,57.05
508951,Ráztoka,230,116,50.43
508969,Riečka,667,450,67.46
508977,Sebedín - Bečov,307,166,54.07
508985,Selce,1734,1049,60.49
508993,Sihla,153,85,55.55
509001,Slovenská Ľupča,2627,1528,58.16
509019,Staré Hory,462,290,62.77
509027,Strelníky,630,424,67.3
509035,Špania Dolina,207,136,65.7
509043,Šumiac,968,376,38.84
509051,Telgárt,884,305,34.5
509060,Tajov,566,386,68.19
509086,Valaská,2876,1386,48.19
509094,Vaľkovňa,302,83,27.48
509124,Závadka nad Hronom,1700,706,41.52
509132,Čadca,18532,9101,49.1
509159,Čierne,3572,1939,54.28
509167,Dlhá nad Kysucou,510,245,48.03
509175,Dolný Vadičov,464,269,57.97
509183,Dunajov,889,483,54.33
509205,Horný Vadičov,1374,811,59.02
509213,Klokočov,1876,830,44.24
509221,Klubina,441,251,56.91
509230,Korňa,1649,854,51.78
509248,Krásno nad Kysucou,5318,2834,53.29
509256,Kysucké Nové Mesto,11875,6758,56.9
509264,Kysucký Lieskovec,1889,1049,55.53
509272,Lodno,753,385,51.12
509281,Lopušné Pažite,358,206,57.54
509299,Makov,1519,886,58.32
509302,Nesluša,2541,1409,55.45
509311,Nová Bystrica,2137,1079,50.49
509329,Ochodnica,1566,850,54.27
509337,Olešná,1567,833,53.15
509345,Oščadnica,4689,2408,51.35
509361,Podvysoká,1062,586,55.17
509370,Povina,935,531,56.79
509396,Radôstka,657,384,58.44
509400,Raková,4454,2316,51.99
509426,Rudina,1429,805,56.33
509434,Rudinka,326,205,62.88
509442,Rudinská,802,415,51.74
509451,Skalité,4093,2135,52.16
509469,Snežnica,867,567,65.39
509477,Stará Bystrica,2255,1213,53.79
509485,Staškov,2271,1116,49.14
509493,Svrčinovec,2762,1420,51.41
509507,Turzovka,5806,2896,49.87
509515,Vysoká nad Kysucou,2099,1092,52.02
509523,Zákopčie,1384,713,51.51
509531,Zborov nad Bystricou,1761,1018,57.8
509540,Dolný Kubín,14142,7970,56.35
509558,Babín,1093,523,47.84
509566,Beňadovo,623,380,60.99
509582,Bobrov,1467,843,57.46
509591,Breza,1234,585,47.4
509604,Brezovica,1093,605,55.35
509639,Dlhá nad Oravou,1102,609,55.26
509655,Habovka,1107,679,61.33
509663,Hladovka,783,400,51.08
509671,Horná Lehota,443,258,58.23
509680,Hruštín,2475,1338,54.06
509698,Chlebnice,1241,628,50.6
509701,Istebné,1080,603,55.83
509710,Jasenová,356,211,59.26
509728,Klin,1816,977,53.79
509744,Kraľovany,346,231,66.76
509761,Krivá,635,441,69.44
509779,Krušetnica,760,402,52.89
509787,Leštiny,234,141,60.25
509795,Liesek,2233,1233,55.21
509809,Lokca,1834,982,53.54
509817,Lomná,692,355,51.3
509825,Malatiná,632,303,47.94
509833,Medzibrodie nad Oravou,457,275,60.17
509850,Mútne,2212,1262,57.05
509868,Námestovo,5720,3226,56.39
509876,Nižná,3161,1852,58.58
509884,Novoť,2670,1465,54.86
509892,Oravská Jasenica,1457,839,57.58
509906,Oravská Lesná,2561,1523,59.46
509914,Oravská Polhora,2924,1270,43.43
509922,Oravská Poruba,861,565,65.62
509931,Oravské Veselé,2259,1181,52.27
509949,Oravský Biely Potok,569,346,60.8
509957,Oravský Podzámok,1091,689,63.15
509965,Osádka,125,70,56
509973,Párnica,763,453,59.37
509981,Podbiel,1052,634,60.26
509990,Pokryváč,139,73,52.51
510009,Pribiš,370,202,54.59
510017,Pucov,675,377,55.85
510025,Rabča,3740,1733,46.33
510033,Rabčice,1565,796,50.86
510041,Sedliacka Dubová,405,242,59.75
510050,Sihelné,1531,564,36.83
510076,Suchá Hora,1088,602,55.33
510084,Štefanov nad Oravou,527,314,59.58
510092,Ťapešovo,593,355,59.86
510106,Trstená,5465,3151,57.65
510114,Tvrdošín,6880,3885,56.46
510149,Vasiľov,612,339,55.39
510157,Vavrečka,1221,724,59.29
510165,Veličná,1167,748,64.09
510173,Vitanová,1021,582,57
510181,Vyšný Kubín,619,438,70.75
510190,Zábiedovo,686,356,51.89
510203,Zákamenné,4092,2045,49.97
510211,Zázrivá,2099,1080,51.45
510238,Zuberec,1806,1245,68.93
510246,Zubrohlava,1805,862,47.75
510254,Žaškov,1315,725,55.13
510262,Liptovský Mikuláš,24844,13672,55.03
510271,Beňadiková,431,233,54.06
510301,Bešeňová,627,378,60.28
510319,Bobrovček,147,91,61.9
510327,Bobrovec,1598,955,59.76
510335,Bobrovník,115,73,63.47
510351,Bukovina,97,60,61.85
510386,Demänovská Dolina,578,476,82.35
510408,Dúbrava,1040,665,63.94
510416,Galovany,256,173,67.57
510424,Gôtovany,397,228,57.43
510441,Hubová,858,497,57.92
510459,Huty,154,98,63.63
510467,Hybe,1230,727,59.1
510505,Jakubovany,328,187,57.01
510513,Jalovec,284,161,56.69
510521,Jamník,385,203,52.72
510530,Kalameny,367,236,64.3
510548,Komjatná,1214,574,47.28
510564,Kráľova Lehota,476,328,68.9
510572,Kvačany,445,262,58.87
510581,Lazisko,325,190,58.46
510599,Likavka,2342,1328,56.7
510602,Liptovská Anna,91,50,54.94
510611,Liptovská Kokava,770,445,57.79
510629,Liptovská Lúžna,2248,1148,51.06
510637,Liptovská Osada,1365,778,56.99
510653,Liptovská Sielnica,513,343,66.86
510661,Liptovská Štiavnica,1067,632,59.23
510670,Liptovská Teplá,834,507,60.79
510688,Liptovské Beharovce,67,48,71.64
510696,Liptovské Kľačany,287,176,61.32
510700,Liptovské Matiašovce,249,147,59.03
510718,Liptovské Revúce,1287,701,54.46
510726,Liptovský Hrádok,5852,3385,57.84
510734,Liptovský Ján,993,634,63.84
510742,Liptovský Michal,252,146,57.93
510751,Liptovský Ondrej,544,319,58.63
510777,Liptovský Trnovec,537,324,60.33
510785,Lisková,1641,976,59.47
510793,Ľubeľa,966,583,60.35
510807,Ľubochňa,862,520,60.32
510815,Lúčky,1410,876,62.12
510823,Ludrová,797,447,56.08
510831,Malatíny,227,121,53.3
510840,Malé Borové,106,49,46.22
510858,Malužiná,201,131,65.17
510866,Martinček,356,195,54.77
510874,Nižná Boca,164,127,77.43
510904,Partizánska Ľupča,1079,594,55.05
510912,Pavčina Lehota,351,249,70.94
510921,Pavlova Ves,229,105,45.85
510947,Podtureň,852,534,62.67
510955,Potok,95,72,75.78
510963,Pribylina,1185,610,51.47
510971,Prosiek,179,123,68.71
510998,Ružomberok,21770,11576,53.17
511005,Liptovské Sliače,3032,1687,55.63
511013,Smrečany,585,383,65.47
511030,Stankovany,936,547,58.44
511048,Svätý Kríž,732,404,55.19
511056,Štiavnička,683,417,61.05
511064,Švošov,664,361,54.36
511072,Trstené,183,128,69.94
511099,Uhorská Ves,434,282,64.97
511102,Valaská Dubová,615,363,59.02
511111,Vavrišovo,562,332,59.07
511129,Važec,1903,769,40.4
511137,Veľké Borové,53,35,66.03
511145,Veterná Poruba,305,177,58.03
511153,Vlachy,532,338,63.53
511170,Východná,1766,758,42.92
511188,Vyšná Boca,170,142,83.52
511196,Závažná Poruba,1085,688,63.41
511200,Žiar,399,300,75.18
511218,Lučenec,20890,9079,43.46
511226,Ábelová,169,64,37.86
511234,Belina,491,160,32.58
511251,Boľkovce,512,256,50
511269,Breznička,606,316,52.14
511277,Budiná,174,96,55.17
511293,Buzitka,388,196,50.51
511315,Cinobaňa,1661,714,42.98
511323,Čakanovce,820,119,14.51
511331,Čamovce,425,105,24.7
511340,České Brezovo,400,240,60
511358,Divín,1636,772,47.18
511366,Dobroč,507,303,59.76
511374,Kotmanová,228,125,54.82
511391,Fiľakovo,7706,2086,27.06
511404,Fiľakovské Kováče,710,213,30
511421,Halič,1328,691,52.03
511439,Holiša,492,153,31.09
511447,Hradište,191,120,62.82
511463,Jelšovec,243,50,20.57
511471,Kalinovo,1819,968,53.21
511480,Kalonda,168,52,30.95
511498,Kokava nad Rimavicou,2298,1027,44.69
511501,Krná,43,33,76.74
511510,Látky,452,271,59.95
511528,Lehôtka,275,90,32.72
511536,Lentvora,66,30,45.45
511544,Lipovany,200,105,52.5
511552,Lovinobaňa,1515,671,44.29
511561,Ľuboreč,280,98,35
511579,Lupoč,177,90,50.84
511595,Málinec,1097,469,42.75
511609,Mašková,258,94,36.43
511617,Mládzovo,95,54,56.84
511625,Mučín,577,149,25.82
511641,Mýtna,927,486,52.42
511668,Nitra nad Ipľom,270,42,15.55
511676,Nové Hony,148,58,39.18
511684,Ozdín,240,136,56.66
511692,Panické Dravce,591,240,40.6
511706,Píla,213,124,58.21
511714,Pinciná,163,77,47.23
511722,Pleš,151,73,48.34
511731,Podkriváň,477,260,54.5
511749,Podrečany,454,206,45.37
511757,Polichno,98,38,38.77
511765,Poltár,4225,1995,47.21
511773,Praha,65,23,35.38
511781,Prša,157,59,37.57
511790,Radzovce,1274,386,30.29
511803,Rapovce,738,241,32.65
511811,Ratka,260,130,50
511820,Rovňany,199,107,53.76
511838,Ružiná,669,258,38.56
511846,Stará Halič,491,247,50.3
511854,Šávoľ,445,147,33.03
511862,Šiatorská Bukovinka,234,114,48.71
511871,Šíd,963,161,16.71
511889,Šoltýska,84,59,70.23
511897,Šurice,362,108,29.83
511901,Točnica,301,139,46.17
511919,Tomášovce,1116,638,57.16
511927,Trebeľovce,714,316,44.25
511943,Tuhár,285,165,57.89
511978,Uhorské,426,224,52.58
511994,Veľká nad Ipľom,743,219,29.47
512001,Veľká Ves,329,202,61.39
512010,Veľké Dravce,525,152,28.95
512036,Martin,41773,23639,56.58
512044,Abramová,163,84,51.53
512052,Belá - Dulice,1016,674,66.33
512061,Benice,269,160,59.47
512079,Blatnica,851,554,65.09
512087,Blažovce,138,92,66.66
512095,Bodorová,175,122,69.71
512109,Borcová,137,89,64.96
512117,Brieštie,124,74,59.67
512125,Budiš,166,95,57.22
512133,Bystrička,1259,811,64.41
512141,Čremošné,100,55,55
512150,Ďanová,447,253,56.59
512168,Diaková,437,318,72.76
512206,Dolný Kalník,272,185,68.01
512214,Dražkovce,842,552,65.55
512222,Dubové,582,381,65.46
512257,Folkušová,126,92,73.01
512265,Háj,371,241,64.95
512273,Horná Štubňa,1278,568,44.44
512290,Horný Kalník,158,111,70.25
512303,Ivančiná,81,48,59.25
512311,Jasenovo,113,67,59.29
512320,Jazernica,302,190,62.91
512338,Kaľamenová,75,45,60
512346,Karlová,98,66,67.34
512354,Kláštor pod Znievom,1455,834,57.31
512371,Košťany nad Turcom,1139,735,64.53
512389,Krpeľany,869,513,59.03
512397,Laskár,113,68,60.17
512419,Ležiachov,142,94,66.19
512427,Liešno,52,30,57.69
512435,Lipovec,746,479,64.2
512443,Malý Čepčín,458,305,66.59
512451,Moškovec,63,50,79.36
512460,Mošovce,1146,708,61.78
512478,Necpaly,830,500,60.24
512486,Nolčovo,198,127,64.14
512494,Ondrašová,72,56,77.77
512508,Podhradie,557,339,60.86
512524,Príbovce,884,556,62.89
512541,Rakovo,308,188,61.03
512559,Rakša,191,117,61.25
512567,Ratkovo,171,110,64.32
512575,Rudno,177,128,72.31
512583,Sklabiňa,539,323,59.92
512591,Sklabinský Podzámok,157,94,59.87
512605,Sklené,572,310,54.19
512613,Slovany,366,245,66.93
512621,Slovenské Pravno,758,430,56.72
512630,Socovce,185,111,60
512648,Sučany,4099,2317,56.52
512656,Šútovo,414,264,63.76
512664,Trebostovo,501,288,57.48
512672,Trnovo,223,134,60.08
512681,Turany,3449,1997,57.9
512699,Turček,510,231,45.29
512702,Turčianska Štiavnička,748,438,58.55
512711,Turčianske Kľačany,815,511,62.69
512729,Turčianske Teplice,5239,3140,59.93
512737,Turčiansky Ďur,141,79,56.02
512753,Turčiansky Peter,412,269,65.29
512761,Valča,1459,919,62.98
512788,Veľký Čepčín,203,116,57.14
512796,Vrícko,394,243,61.67
512818,Záborie,136,87,63.97
512834,Žabokreky,999,628,62.86
512842,Považská Bystrica,30843,17560,56.93
512851,Beluša,5011,2964,59.14
512885,Bolešov,1257,715,56.88
512915,Brvnište,983,584,59.4
512931,Červený Kameň,518,323,62.35
512940,Dohňany,1519,903,59.44
512958,Dolná Breznica,841,489,58.14
512966,Dolná Mariková,1137,715,62.88
513008,Domaniža,1311,752,57.36
513016,Dubnica nad Váhom,18315,10213,55.76
513024,Dulov,752,466,61.96
513083,Horná Mariková,549,352,64.11
513091,Horná Poruba,883,535,60.58
513121,Horovce,746,442,59.24
513156,Ilava,4647,2882,62.01
513172,Jasenica,989,620,62.68
513245,Kostolec,223,148,66.36
513253,Košeca,2244,1316,58.64
513296,Ladce,2008,1169,58.21
513300,Lazy pod Makytou,1061,605,57.02
513318,Lednica,728,402,55.21
513326,Lednické Rovne,3159,1813,57.39
513334,Lúky,739,462,62.51
513342,Lysá pod Makytou,1624,964,59.35
513351,Košecké Podhradie,875,538,61.48
513377,Mestečko,413,249,60.29
513385,Mikušovce,824,503,61.04
513407,Mojtín,369,204,55.28
513440,Nová Dubnica,8689,5138,59.13
513466,Papradno,1993,1188,59.6
513474,Plevník - Drienové,1344,776,57.73
513563,Prečín,1208,700,57.94
513598,Pruské,1818,1071,58.91
513601,Pružina,1640,917,55.91
513610,Púchov,14014,8049,57.43
513687,Stupné,559,339,60.64
513725,Tuchyňa,691,445,64.39
513741,Udiča,1840,1064,57.82
513776,Visolaje,766,499,65.14
513784,Vrchteplá,208,139,66.82
513792,Malá Tŕňa,295,120,40.67
513806,Veľká Tŕňa,373,213,57.1
513814,Záriečie,552,319,57.78
513822,Záskalie,166,99,59.63
513831,Klin nad Bodrogom,166,45,27.1
513849,Stanča,312,177,56.73
513857,Budince,164,54,32.92
513865,Zliechov,497,301,60.56
513881,Prievidza,36182,19282,53.29
513903,Bojnice,4163,2837,68.14
513911,Bystričany,1473,825,56
513920,Cigeľ,1032,687,66.56
513938,Čavoj,445,273,61.34
513946,Čereňany,1459,790,54.14
513954,Diviacka Nová Ves,1439,855,59.41
513962,Diviaky nad Nitricou,1453,849,58.43
513971,Dlžín,143,91,63.63
513989,Dolné Vestenice,2001,1135,56.72
513997,Handlová,13045,6077,46.58
514004,Horná Ves,859,469,54.59
514012,Horné Vestenice,517,314,60.73
514021,Chrenovec - Brusno,1148,667,58.1
514039,Chvojnica,202,100,49.5
514063,Kamenec pod Vtáčnikom,1452,946,65.15
514071,Kanianka,3130,1960,62.61
514080,Kľačno,870,471,54.13
514098,Kocurany,449,226,50.33
514101,Kostolná Ves,403,242,60.04
514110,Koš,851,503,59.1
514128,Lazany,1436,881,61.35
514136,Lehota pod Vtáčnikom,3064,1964,64.09
514144,Liešťany,946,577,60.99
514179,Malá Čausa,569,301,52.89
514187,Malinová,811,485,59.8
514209,Nedožery - Brezany,1697,1022,60.22
514217,Nevidzany,247,158,63.96
514225,Nitrianske Pravno,2591,1403,54.14
514233,Nitrianske Rudno,1533,969,63.2
514241,Nitrianske Sučany,987,583,59.06
514250,Nitrica,989,594,60.06
514268,Nováky,3453,1964,56.87
514284,Opatovce nad Nitrou,1316,806,61.24
514292,Oslany,1915,1061,55.4
514306,Podhradie,248,147,59.27
514314,Poluvsie,450,314,69.77
514322,Poruba,1087,684,62.92
514331,Pravenec,1051,662,62.98
514349,Radobica,507,288,56.8
514357,Ráztočno,1042,625,59.98
514365,Rudnianska Lehota,612,394,64.37
514373,Sebedražie,1378,790,57.32
514381,Seč,315,202,64.12
514390,Šútovce,369,235,63.68
514403,Temeš,184,97,52.71
514411,Tužina,989,542,54.8
514420,Valaská Belá,1686,972,57.65
514438,Veľká Čausa,448,244,54.46
514454,Zemianske Kostoľany,1430,813,56.85
514462,Rimavská Sobota,17506,7150,40.84
514489,Babinec,59,39,66.1
514501,Barca,403,59,14.64
514519,Bátka,657,262,39.87
514535,Belín,129,39,30.23
514543,Blhovce,602,131,21.76
514551,Bottovo,170,99,58.23
514578,Bretka,311,101,32.47
514586,Budikovany,57,39,68.42
514594,Cakov,246,57,23.17
514608,Čerenčany,433,229,52.88
514616,Čierny Potok,120,67,55.83
514624,Číž,571,177,30.99
514632,Dolné Zahorany,153,67,43.79
514641,Dražice,194,42,21.64
514659,Drienčany,170,93,54.7
514667,Drňa,158,42,26.58
514675,Držkovce,418,121,28.94
514683,Dubno,128,45,35.15
514691,Dubovec,399,92,23.05
514713,Figa,316,81,25.63
514721,Gemer,712,210,29.49
514730,Gemerček,75,29,38.66
514748,Gemerská Panica,484,176,36.36
514756,Gemerská Ves,714,125,17.5
514764,Gemerské Dechtáre,337,114,33.82
514781,Gemerský Jablonec,551,160,29.03
514799,Gortva,372,47,12.63
514811,Hajnáčka,927,209,22.54
514829,Hnúšťa,5151,1950,37.85
514837,Hodejov,1081,231,21.36
514845,Hodejovec,141,57,40.42
514853,Horné Zahorany,96,57,59.37
514861,Hostice,712,187,26.26
514870,Hostišovce,178,36,20.22
514888,Hrachovo,640,363,56.71
514896,Hrlica,46,26,56.52
514900,Hrnčiarska Ves,724,290,40.05
514918,Hrnčiarske Zalužany,687,338,49.19
514926,Hrušovo,159,91,57.23
514934,Hubovo,99,34,34.34
514942,Husiná,401,93,23.19
514951,Chanava,563,137,24.33
514969,Chrámec,307,67,21.82
514977,Chvalová,137,54,39.41
514985,Ivanice,163,52,31.9
514993,Janice,172,38,22.09
515001,Jesenské,1805,493,27.31
515019,Jestice,122,53,43.44
515027,Kaloša,564,131,23.22
515035,Kesovce,169,18,10.65
515043,Klenovec,2365,944,39.91
515051,Kociha,169,98,57.98
515060,Konrádovce,235,47,20
515078,Kráľ,725,193,26.62
515086,Kraskovo,100,51,51
515094,Krokava,23,18,78.26
515108,Kružno,288,154,53.47
515116,Kyjatice,68,39,57.35
515124,Lehota nad Rimavicou,226,95,42.03
515132,Lenartovce,426,98,23
515141,Lenka,160,87,54.37
515159,Levkuška,182,54,29.67
515167,Lipovec,48,18,37.5
515175,Lukovištia,169,98,57.98
515183,Martinová,169,40,23.66
515205,Neporadza,229,72,31.44
515230,Nová Bašta,387,125,32.29
515248,Orávka,123,75,60.97
515256,Otročok,239,88,36.82
515264,Ožďany,1244,480,38.58
515272,Padarovce,118,46,38.98
515281,Pavlovce,278,44,15.82
515299,Petrovce,169,87,51.47
515302,Ploské,60,32,53.33
515311,Polina,83,32,38.55
515337,Poproč,29,25,86.2
515345,Potok,29,25,86.2
515353,Radnovce,670,188,28.05
515361,Rašice,98,50,51.02
515370,Ratková,431,99,22.96
515388,Ratkovská Lehota,41,25,60.97
515396,Ratkovská Suchá,45,30,66.66
515400,Ratkovské Bystré,250,121,48.4
515426,Rimavská Baňa,391,169,43.22
515442,Rimavská Seč,1453,317,21.81
515451,Rimavské Brezovo,381,168,44.09
515469,Rimavské Janovce,1147,376,32.78
515485,Rovné,89,49,55.05
515493,Rumince,289,110,38.06
515507,Rybník,127,45,35.43
515515,Selce,96,41,42.7
515523,Skerešovo,161,58,36.02
515531,Slizké,149,43,28.85
515540,Stará Bašta,273,113,41.39
515566,Stránska,284,79,27.81
515574,Leváre,74,41,55.4
515582,Studená,220,73,33.18
515591,Sušany,358,216,60.33
515604,Sútor,463,23,4.96
515612,Tornaľa,5546,1604,28.92
515621,Šimonovce,390,106,27.17
515639,Širkovce,676,130,19.23
515647,Španie Pole,67,36,53.73
515655,Štrkovec,288,106,36.8
515663,Tachty,425,201,47.29
515671,Teplý Vrch,235,134,57.02
515680,Tisovec,2994,1320,44.08
515698,Tomášovce,175,47,26.85
515701,Uzovská Panica,544,96,17.64
515710,Včelince,636,117,18.39
515728,Večelkov,170,76,44.7
515736,Veľké Teriakovce,649,281,43.29
515744,Veľký Blh,861,200,23.22
515752,Vieska nad Blhom,125,42,33.6
515761,Višňové,56,22,39.28
515779,Vlkyňa,261,65,24.9
515795,Valice,215,64,29.76
515809,Vyšný Skálnik,130,71,54.61
515817,Zádor,104,31,29.8
515833,Žiar,88,41,46.59
515841,Žíp,174,59,33.9
515850,Veľký Krtíš,8613,3583,41.59
515868,Balog nad Ipľom,633,345,54.5
515876,Bátorová,287,133,46.34
515884,Brusník,92,52,56.52
515892,Bušince,1074,324,30.16
515906,Čebovce,846,321,37.94
515914,Čeláre,445,106,23.82
515922,Čelovce,319,110,34.48
515931,Červeňany,29,16,55.17
515949,Dačov Lom,298,133,44.63
515957,Dolinka,402,181,45.02
515965,Dolná Strehová,799,410,51.31
515973,Dolné Plachtince,487,260,53.38
515981,Dolné Strháre,168,93,55.35
515990,Ďurkovce,85,37,43.52
516007,Glabušovce,101,61,60.39
516015,Horná Strehová,115,55,47.82
516023,Horné Plachtince,164,81,49.39
516031,Horné Strháre,205,95,46.34
516040,Hrušov,680,394,57.94
516058,Chrastince,166,57,34.33
516066,Chrťany,111,44,39.63
516074,Ipeľské Predmostie,445,161,36.17
516082,Kamenné Kosihy,292,147,50.34
516091,Kiarov,219,92,42
516104,Kleňany,225,89,39.55
516112,Koláre,195,86,44.1
516121,Kosihovce,459,140,30.5
516139,Kosihy nad Ipľom,333,103,30.93
516147,Kováčovce,250,94,37.6
516155,Lesenice,416,179,43.02
516163,Ľuboriečka,129,88,68.21
516171,Malá Čalomija,156,96,61.53
516198,Malé Zlievce,226,125,55.3
516210,Modrý Kameň,1300,564,43.38
516228,Muľa,217,36,16.58
516236,Nenince,1080,480,44.44
516244,Nová Ves,354,174,49.15
516252,Obeckov,365,166,45.47
516261,Olováry,225,117,52
516279,Opatovská Nová Ves,491,159,32.38
516287,Opava,80,29,36.25
516295,Pôtor,615,257,41.78
516309,Pravica,100,26,26
516317,Príbelce,456,290,63.59
516333,Sečianky,270,101,37.4
516341,Seľany,134,52,38.8
516368,Senné,155,85,54.83
516376,Sklabiná,752,292,38.82
516384,Slovenské Ďarmoty,360,120,33.33
516392,Slovenské Kľačany,142,67,47.18
516406,Stredné Plachtince,509,212,41.65
516414,Sucháň,206,87,42.23
516422,Suché Brezovo,74,40,54.05
516431,Širákov,160,67,41.87
516449,Šuľa,66,41,62.12
516457,Trebušovce,149,72,48.32
516465,Veľká Čalomija,475,228,48
516473,Veľká Ves nad Ipľom,350,132,37.71
516490,Veľké Zlievce,378,133,35.18
516503,Veľký Lom,117,57,48.71
516511,Vieska,152,91,59.86
516520,Vinica,1447,569,39.32
516538,Vrbovka,285,137,48.07
516546,Záhorce,534,278,52.05
516554,Závada,345,156,45.21
516562,Zombor,104,38,36.53
516571,Želovce,979,397,40.55
516589,Žiar nad Hronom,13985,6997,50.03
516597,Svätý Anton,983,547,55.64
516601,Baďan,136,83,61.02
516627,Banská Belá,965,528,54.71
516643,Banská Štiavnica,7884,4210,53.39
516651,Banský Studenec,372,196,52.68
516660,Bartošova Lehôtka,290,178,61.37
516678,Beluj,119,55,46.21
516708,Bzenica,563,320,56.83
516716,Dekýš,155,92,59.35
516724,Dolná Trnávka,290,195,67.24
516732,Dolná Ves,186,100,53.76
516741,Dolná Ždaňa,713,351,49.22
516759,Hodruša - Hámre,1679,941,56.04
516767,Hliník nad Hronom,2183,1280,58.63
516791,Horná Ždaňa,437,238,54.46
516805,Horné Hámre,570,340,59.64
516813,Hrabičov,452,238,52.65
516821,Hronská Dúbrava,349,193,55.3
516830,Hronský Beňadik,929,506,54.46
516848,Ihráč,394,229,58.12
516856,Ilija,299,195,65.21
516872,Janova Lehota,763,415,54.39
516881,Jastrabá,442,267,60.4
516902,Kľak,157,89,56.68
516937,Kopernica,334,129,38.62
516945,Kosorín,372,227,61.02
516953,Kozelník,141,81,57.44
516961,Krahule,230,143,62.17
516970,Kremnica,4009,2060,51.38
516988,Kremnické Bane,194,106,54.63
516996,Kunešov,173,83,47.97
517011,Lehôtka pod Brehmi,313,184,58.78
517020,Lovča,561,330,58.82
517038,Lovčica - Trubín,1296,789,60.87
517046,Lúčky,166,83,50
517062,Malá Lehota,737,397,53.86
517071,Močiar,132,73,55.3
517089,Nevoľné,306,208,67.97
517097,Nová Baňa,5622,3090,54.96
517119,Ostrý Grúň,448,266,59.37
517127,Píla,103,52,50.48
517135,Pitelová,525,310,59.04
517143,Podhorie,274,187,68.24
517160,Počúvadlo,93,62,66.66
517178,Prenčov,521,299,57.38
517186,Prestavlky,565,330,58.4
517194,Prochot,481,295,61.33
517216,Repište,241,157,65.14
517232,Rudno nad Hronom,419,269,64.2
517241,Sklené Teplice,388,273,70.36
517259,Slaská,435,251,57.7
517267,Stará Kremnička,866,440,50.8
517283,Štiavnické Bane,727,414,56.94
517291,Tekovská Breznica,1008,584,57.93
517305,Tekovské Nemce,844,467,55.33
517313,Trnavá Hora,1013,591,58.34
517330,Veľká Lehota,894,489,54.69
517348,Veľké Pole,379,181,47.75
517356,Voznica,527,298,56.54
517364,Vyhne,959,526,54.84
517372,Vysoká,101,56,55.44
517381,Žarnovica,4607,2438,52.91
517399,Župkov,703,370,52.63
517402,Žilina,65703,38580,58.71
517429,Belá,2646,1460,55.17
517461,Bytča,9366,5154,55.02
517470,Čičmany,163,113,69.32
517488,Divina,1954,1077,55.11
517496,Divinka,780,469,60.12
517500,Dlhé Pole,1609,963,59.85
517518,Dolná Tižina,1148,621,54.09
517526,Dolný Hričov,1313,749,57.04
517542,Fačkov,540,341,63.14
517551,Gbeľany,1234,768,62.23
517577,Hôrky,761,485,63.73
517593,Horný Hričov,704,461,65.48
517623,Hvozdnica,960,517,53.85
517631,Jablonové,727,382,52.54
517640,Jasenové,480,267,55.62
517658,Kamenná Poruba,1447,912,63.02
517674,Kolárovice,1439,776,53.92
517682,Konská,1314,824,62.7
517691,Kotešová,1817,1024,56.35
517704,Kotrčiná Lúčka,481,326,67.77
517712,Krasňany,1189,690,58.03
517721,Kunerad,863,548,63.49
517739,Lietava,1317,822,62.41
517755,Lietavská Svinná - Babkov,1408,823,58.45
517763,Lutiše,627,366,58.37
517771,Lysica,711,426,59.91
517780,Malá Čierna,277,174,62.81
517798,Maršová - Rašov,786,447,56.87
